fips,wage,employment
13031,20970.142919146827,16128
13033,30393.920556296438,5249
13035,23304.911424257676,3974
13037,17920.425860023726,843
13039,25339.670983588254,8957
13043,19177.18962264151,2120
13045,26093.441913439634,26340
13047,24547.51775513355,12954
13049,20466.701005025127,1592
13051,29079.451535174412,106242
13053,24761.92083712466,1099
13055,23495.69732089103,6644
13057,27410.748437278024,28156
13059,25886.322079946553,44905
13061,15843.25141242938,354
13063,37546.44883319096,103016
13065,22713.984028851108,1941
13067,39414.29898888428,274746
13069,22536.36275538547,16201
13071,20117.36319327731,11900
13073,24076.34913067863,17830
13075,18635.83857264231,4708
13077,27077.218509338763,22594
13079,18754.654142581887,1038
13081,21044.285236694304,7478
13083,20856.264979531075,2687
13085,23350.111918604653,3440
13087,21901.01918330716,8914
13089,38451.18291152709,272558
13091,19237.044620723846,4034
13093,22483.049180327867,2684
13095,27435.916227838203,43487
13097,24883.785716970495,26605
13099,31288.095316804407,3630
13101,12594.02100840336,714
13103,29207.63988403396,4829
13105,21955.270336605892,5704
13107,18807.706382978722,5405
13109,19279.038830179405,4069
13111,20496.192529456002,3989
13113,28015.05707802409,28645
13115,28305.32502654241,33908
13117,34122.50537282139,30524
13119,24513.410975609757,6560
13121,48319.191380954544,660630
13123,21022.70868253436,5966
13125,27493.473537604455,359
13127,23700.238160904075,29732
13129,25822.233970695208,19246
13131,20787.33920137398,4658
13133,23002.820500927643,4312
13135,39610.72772823779,259050
13137,24139.06035008273,11483
13139,28994.148344394176,56807
13141,16872.782496782496,777
13143,24545.71340839304,4885
13145,16712.57003257329,3991
13147,26313.738742690057,6840
13149,34093.173596673594,1924
13151,25156.32196940872,26282
13153,23794.975509419455,26010
13155,19605.192803437163,1862
13157,24137.996191512513,12866
13159,25414.914784394252,1948
13161,22641.449076160432,4438
13163,25039.288764044944,4450
13165,20614.17748344371,2265
13167,19459.46089965398,1445
13169,22838.872785097683,2201
13171,22488.472920353983,2825
13173,19284.853333333333,1050
13175,23687.68397532729,15888
13177,18771.236462093864,2770
13179,19805.150858395227,8213
13181,19711.48309608541,1124
13183,14971.004504504504,222
13185,22387.082441881314,33466
13187,23368.469960565995,4311
13189,22718.990936997514,6841
13191,17121.246367239102,1514
13193,28110.242818971277,2994
13195,21597.019352290677,2532
13197,17595.81725888325,2167
13199,22709.4576355911,4001
13201,18399.475884244373,933
13205,18603.07028255005,7043
13207,25783.09182899064,3953
13209,23453.116692426585,1294
13211,25258.2503626943,4825
13213,25043.016875479418,11733
13215,27575.411933532883,81183
13217,29107.227285092493,14704
13219,23586.7322467986,5154
13221,21258.053497942386,1215
13223,24339.823105892778,9028
13225,25995.656953438174,6486
13227,25579.808957312805,4287
13229,21022.643984566817,2851
13231,23360.855863192184,1228
13233,23249.22517113006,8327
13235,24132.855169527,2389
13237,25810.36358256066,5069
13239,20287.040268456374,149
13241,21735.79655172414,5220
13243,20922.495367510808,1619
13245,27025.977406849554,80998
13247,30196.0306058918,30517
13249,23170.61105815062,1049
13251,22180.096659559345,2814
13253,20200.295260663508,2110
13255,24332.778907242693,18888
13257,25476.448532783128,8724
13259,18292.850509626274,883
13261,23056.581862446743,11501
13263,24656.250539956804,463
13265,13344.935897435897,78
13267,17018.95464663328,3594
13269,24631.526692708332,1536
13271,19414.892135529997,3217
13273,20218.28585961343,1966
13275,25137.574290578887,17620
13277,23778.885329647215,16639
13279,20448.640558397274,9384
13281,19141.551101321587,2270
13283,15659.462365591398,744
13285,29839.078730825233,29531
13287,18766.040309221426,1811
13289,40816.932312651086,1241
13291,21105.517653600222,3597
13293,23495.02919433655,7981
13295,23734.557860876557,12435
13297,25729.84896733691,10991
13299,21960.392925736236,12496
13301,26533.113509749302,1436
13303,31637.58210093002,6559
13305,24661.60681302044,6605
13307,24465.217532467534,308
13309,21156.224252491695,602
13311,22293.82081768878,4794
13313,29266.861191581447,57302
13315,18009.890647482014,695
13317,21897.193109700816,3309
13319,34358.566749733,2809
13321,21147.299576271187,2360
